"exp","subject","contest","weight","contestant","strength","min_incentive","select","incentive","total"
"exp3",61,3,6,"C",2,2,1,2,22
"exp3",62,1,10,"A",9,40,1,30,40
"exp3",62,1,10,"B",5,20,0,0,40
"exp3",62,1,10,"C",2,2,1,10,40
"exp3",62,2,7,"A",9,40,1,25,35
"exp3",62,2,7,"B",5,20,0,0,35
"exp3",62,2,7,"C",2,2,1,10,35
"exp3",62,3,6,"A",9,40,1,20,40
"exp3",62,3,6,"B",5,20,1,20,40
"exp3",62,3,6,"C",2,2,0,0,40
"exp3",63,1,10,"A",9,40,1,30,32
"exp3",63,1,10,"B",5,20,0,0,32
"exp3",63,1,10,"C",2,2,1,2,32
"exp3",63,2,7,"A",9,40,0,0,22
"exp3",63,2,7,"B",5,20,1,20,22
"exp3",63,2,7,"C",2,2,1,2,22
"exp3",63,3,6,"A",9,40,0,0,22
"exp3",63,3,6,"B",5,20,1,20,22
"exp3",63,3,6,"C",2,2,1,2,22
"exp3",64,1,10,"A",9,40,1,40,50
"exp3",64,1,10,"B",5,20,0,0,50
"exp3",64,1,10,"C",2,2,1,10,50
"exp3",64,2,7,"A",9,40,0,0,24
"exp3",64,2,7,"B",5,20,1,20,24
"exp3",64,2,7,"C",2,2,1,4,24
"exp3",64,3,6,"A",9,40,0,0,24
"exp3",64,3,6,"B",5,20,1,20,24
"exp3",64,3,6,"C",2,2,1,4,24
"exp3",65,1,10,"A",9,40,1,40,42
