"exp","subject","scenario","round","agent","reward","outcome","effort","strength","prob"
"exp1",8,"F,F;L,L",3,2,20,1,60,5,100
"exp1",8,"F,F;F,L",1,1,10,0,NA,4,NA
"exp1",8,"F,F;F,L",1,2,10,0,NA,4,NA
"exp1",8,"F,F;F,L",2,1,20,0,NA,3,50
"exp1",8,"F,F;F,L",2,2,20,1,80,6,40
"exp1",8,"F,F;F,L",3,1,20,0,NA,1,70
"exp1",8,"F,F;F,L",3,2,20,0,NA,5,70
"exp1",8,"F,L;F,L",1,1,10,0,NA,4,NA
"exp1",8,"F,L;F,L",1,2,10,1,60,5,NA
"exp1",8,"F,L;F,L",2,1,20,0,NA,1,40
"exp1",8,"F,L;F,L",2,2,20,1,50,7,80
"exp1",8,"F,L;F,L",3,1,20,1,40,2,70
"exp1",8,"F,L;F,L",3,2,20,1,70,7,70
"exp1",9,"F,L;L,L",1,1,10,0,NA,3,NA
"exp1",9,"F,L;L,L",1,2,10,1,80,7,NA
"exp1",9,"F,L;L,L",2,1,20,1,100,5,20
"exp1",9,"F,L;L,L",2,2,20,1,80,7,70
"exp1",9,"F,L;L,L",3,1,20,1,90,5,90
"exp1",9,"F,L;L,L",3,2,20,1,70,7,90
"exp1",9,"L,L;L,L",1,1,10,1,80,7,NA
"exp1",9,"L,L;L,L",1,2,10,1,80,7,NA
"exp1",9,"L,L;L,L",2,1,20,1,80,7,80
"exp1",9,"L,L;L,L",2,2,20,1,80,7,80
"exp1",9,"L,L;L,L",3,1,20,1,70,7,90
"exp1",9,"L,L;L,L",3,2,20,1,70,7,90
"exp1",9,"F,L;F,L",1,1,10,0,NA,3,NA
"exp1",9,"F,L;F,L",1,2,10,1,80,7,NA
"exp1",9,"F,L;F,L",2,1,20,0,NA,3,20
"exp1",9,"F,L;F,L",2,2,20,1,80,7,90
"exp1",9,"F,L;F,L",3,1,20,1,100,3,70
"exp1",9,"F,L;F,L",3,2,20,1,70,7,70
"exp1",9,"F,F;F,F",1,1,10,0,NA,3,NA
"exp1",9,"F,F;F,F",1,2,10,0,NA,3,NA
"exp1",9,"F,F;F,F",2,1,20,0,NA,3,20
"exp1",9,"F,F;F,F",2,2,20,0,NA,3,20
"exp1",9,"F,F;F,F",3,1,20,0,NA,2,35
"exp1",9,"F,F;F,F",3,2,20,0,NA,2,35
"exp1",9,"F,F;F,L",1,1,10,0,NA,3,NA
"exp1",9,"F,F;F,L",1,2,10,0,NA,3,NA
"exp1",9,"F,F;F,L",2,1,20,0,NA,3,25
"exp1",9,"F,F;F,L",2,2,20,1,100,5,25
"exp1",9,"F,F;F,L",3,1,20,0,NA,3,80
"exp1",9,"F,F;F,L",3,2,20,0,NA,5,80
"exp1",9,"F,F;L,L",1,1,10,0,NA,3,NA
"exp1",9,"F,F;L,L",1,2,10,0,NA,3,NA
"exp1",9,"F,F;L,L",2,1,20,1,100,5,25
"exp1",9,"F,F;L,L",2,2,20,1,100,5,25
"exp1",9,"F,F;L,L",3,1,20,1,100,5,40
"exp1",9,"F,F;L,L",3,2,20,1,100,5,40
"exp1",10,"F,F;L,L",1,1,10,0,NA,4,NA
"exp1",10,"F,F;L,L",1,2,10,0,NA,4,NA
"exp1",10,"F,F;L,L",2,1,20,1,40,7,40
"exp1",10,"F,F;L,L",2,2,20,1,40,7,45
"exp1",10,"F,F;L,L",3,1,20,1,45,4,30
"exp1",10,"F,F;L,L",3,2,20,1,55,6,30
"exp1",10,"F,F;F,L",1,1,10,0,NA,5,NA
"exp1",10,"F,F;F,L",1,2,10,0,NA,6,NA
"exp1",10,"F,F;F,L",2,1,20,0,NA,4,40
"exp1",10,"F,F;F,L",2,2,20,1,60,7,60
"exp1",10,"F,F;F,L",3,1,20,0,NA,4,80
"exp1",10,"F,F;F,L",3,2,20,0,NA,7,80
"exp1",10,"F,L;L,L",1,1,10,0,NA,4,NA
"exp1",10,"F,L;L,L",1,2,10,1,30,8,NA
"exp1",10,"F,L;L,L",2,1,20,1,70,4,10
"exp1",10,"F,L;L,L",2,2,20,1,40,8,80
"exp1",10,"F,L;L,L",3,1,20,1,40,4,20
"exp1",10,"F,L;L,L",3,2,20,1,30,7,20
"exp1",10,"F,F;F,F",1,1,10,0,NA,6,NA
"exp1",10,"F,F;F,F",1,2,10,0,NA,3,NA
"exp1",10,"F,F;F,F",2,1,20,0,NA,3,30
"exp1",10,"F,F;F,F",2,2,20,0,NA,4,30
"exp1",10,"F,F;F,F",3,1,20,0,NA,1,90
"exp1",10,"F,F;F,F",3,2,20,0,NA,1,90
"exp1",10,"L,L;L,L",1,1,10,1,70,8,NA
"exp1",10,"L,L;L,L",1,2,10,1,70,8,NA
