"subject","contest","agent","scenario","exp","effort","strength","outcome","prob","round","reward"
12,1,1,"F,F;F,L","index1",NA,4,0,55,3,20
12,1,2,"F,F;F,L","index1",NA,7,0,55,3,20
12,2,1,"F,L;L,L","index1",NA,5,0,NA,1,10
12,2,2,"F,L;L,L","index1",75,8,1,NA,1,10
12,2,1,"F,L;L,L","index1",85,6,1,40,2,20
12,2,2,"F,L;L,L","index1",80,7,1,95,2,20
12,2,1,"F,L;L,L","index1",75,7,1,100,3,20
12,2,2,"F,L;L,L","index1",70,8,1,100,3,20
12,3,1,"F,F;F,F","index1",NA,5,0,NA,1,10
12,3,2,"F,F;F,F","index1",NA,5,0,NA,1,10
12,3,1,"F,F;F,F","index1",NA,2,0,50,2,20
12,3,2,"F,F;F,F","index1",NA,2,0,50,2,20
12,3,1,"F,F;F,F","index1",NA,2,0,25,3,20
12,3,2,"F,F;F,F","index1",NA,2,0,25,3,20
12,4,1,"F,L;F,L","index1",NA,4,0,NA,1,10
12,4,2,"F,L;F,L","index1",75,6,1,NA,1,10
12,4,1,"F,L;F,L","index1",NA,3,0,40,2,20
12,4,2,"F,L;F,L","index1",75,7,1,95,2,20
12,4,1,"F,L;F,L","index1",100,3,1,35,3,20
12,4,2,"F,L;F,L","index1",75,9,1,35,3,20
12,5,1,"L,L;L,L","index1",70,7,1,NA,1,10
12,5,2,"L,L;L,L","index1",70,7,1,NA,1,10
12,5,1,"L,L;L,L","index1",70,7,1,95,2,20
12,5,2,"L,L;L,L","index1",70,7,1,95,2,20
12,5,1,"L,L;L,L","index1",65,7,1,99,3,20
12,5,2,"L,L;L,L","index1",65,7,1,99,3,20
12,6,1,"F,F;L,L","index1",NA,3,0,NA,1,10
12,6,2,"F,F;L,L","index1",NA,3,0,NA,1,10
12,6,1,"F,F;L,L","index1",100,5,1,45,2,20
12,6,2,"F,F;L,L","index1",100,5,1,45,2,20
12,6,1,"F,F;L,L","index1",90,5,1,90,3,20
12,6,2,"F,F;L,L","index1",90,5,1,90,3,20
13,1,1,"F,F;F,F","index1",NA,1,0,NA,1,10
13,1,2,"F,F;F,F","index1",NA,1,0,NA,1,10
13,1,1,"F,F;F,F","index1",NA,1,0,0,2,20
13,1,2,"F,F;F,F","index1",NA,1,0,100,2,20
13,1,1,"F,F;F,F","index1",NA,1,0,0,3,20
13,1,2,"F,F;F,F","index1",NA,1,0,0,3,20
13,2,1,"F,L;L,L","index1",NA,1,0,NA,1,10
13,2,2,"F,L;L,L","index1",80,10,1,NA,1,10
13,2,1,"F,L;L,L","index1",100,10,1,50,2,20
13,2,2,"F,L;L,L","index1",100,10,1,100,2,20
13,2,1,"F,L;L,L","index1",20,10,1,70,3,20
13,2,2,"F,L;L,L","index1",80,10,1,70,3,20
13,3,1,"F,L;F,L","index1",NA,2,0,NA,1,10
13,3,2,"F,L;F,L","index1",80,10,1,NA,1,10
13,3,1,"F,L;F,L","index1",NA,2,0,100,2,20
13,3,2,"F,L;F,L","index1",100,10,1,100,2,20
13,3,1,"F,L;F,L","index1",20,2,1,80,3,20
13,3,2,"F,L;F,L","index1",80,10,1,80,3,20
